questao_uuid;enunciado;exame;ano;tipo
74eb7b24-d55a-497c-a018-c7674dff6012;De acordo com as informações apresentadas acima, verifica-se que;ENADE;2012;OBJETIVA
93dbab4a-bb39-4898-bc25-c0f5c99c7155;O Cerrado, que ocupa mais de 20% do território nacional, é o segundo maior bioma brasileiro, menor apenas que a Amazônia. Representa um dos hotspots para a conservação da biodiversidade mundial e é considerado uma das mais importantes fronteiras agrícolas do planeta. Considerando a conservação da biodiversidade e a expansão da fronteira agrícola no Cerrado, avalie as afirmações a seguir: I. O Cerrado apresenta taxas mais baixas de desmatamento e percentuais mais altos de áreas protegidas que os demais biomas brasileiros. II. O uso do fogo é, ainda hoje, uma das práticas de conservação do solo recomendáveis para controle de pragas e estímulo à rebrota de capim em áreas de pastagens naturais ou artificiais do Cerrado. III. Exploração excessiva, redução progressiva do habitat e presença de espécies invasoras estão entre os fatores que mais provocam o aumento da probabilidade de extinção das populações naturais do Cerrado. IV. Elevação da renda, diversificação das economias e o consequente aumento da oferta de produtos agrícolas e da melhoria social das comunidades envolvidas estão entre os benefícios associados à expansão da agricultura no Cerrado. É correto apenas o que se afirma em;ENADE;2012;OBJETIVA
8580ceb1-632a-46ea-a4af-1b5ed620df2f;É um título adequado ao texto apresentado acima?;ENADE;2012;OBJETIVA
17c4b69e-2f71-4e80-a3a0-b6389723dcdc;Com relação a ética e cidadania, avalie as afirmações seguintes.;ENADE;2012;OBJETIVA
ab2b0bdf-309c-439f-9f07-5a4b14f757dd;Considerando o contexto da globalização e as asserções abaixo, avalie a relação proposta entre elas. I. O processo de desregulação dos mercados financeiros norte-americano e europeu levou à formação de uma bolha de empréstimos especulativos e imobiliários, a qual, ao estourar em 2008, acarretou um efeito dominó de quebras nos mercados. PORQUE II. As políticas neoliberais marcam o enfraquecimento e a dissolução do poder dos Estados nacionais, bem como asseguram poder aos aglomerados financeiros que não atuam nos limites geográficos dos países de origem. A respeito dessas asserções, assinale a opção correta.;ENADE;2012;OBJETIVA
6964c24c-0e69-44b2-bbe2-53dfa67bde3c;Considerando o caso relatado no texto, avalie as seguintes asserções e a relação proposta entre elas. I. É necessário que a sociedade incentive e financie estudos nas áreas de ciências básicas, mesmo que não haja perspectiva de aplicação imediata. PORQUE II. O desenvolvimento da ciência pura para a busca de soluções de seus próprios problemas pode gerar resultados de grande aplicabilidade em diversas áreas do conhecimento. A respeito dessas asserções, assinale a opção correta.;ENADE;2012;OBJETIVA
c4ce0665-3b18-4215-9315-8c61451da0e6;O compromisso assumido pelos legisladores, explicitado no texto acima, é condizente com o fato de que;ENADE;2012;OBJETIVA
4000b177-4e5f-40ca-bab6-e380cb34e8bd;Com base nos dados sobre a taxa de rotatividade no mercado formal brasileiro, entre 2007 e 2009, avalie as afirmações seguintes.;ENADE;2012;OBJETIVA
18ef3288-8a28-4676-8971-6ebc99549c5e;Considerando que os textos acima têm caráter unicamente motivador, redija um texto dissertativo sobre sistema de transporte urbano sustentável, contemplando os seguintes aspectos: conceito de desenvolvimento sustentável, conflito entre o estímulo à compra de veículos automotores e a promoção da sustentabilidade, ações de fomento ao transporte urbano sustentável no Brasil.;ENADE;2012;DISCURSIVA
6558c9bd-8137-4cb2-b133-c65710f9bb37;A Organização Mundial da Saúde (OMS) define violência como o uso de força física ou poder, por ameaça ou na prática, contra si próprio, outra pessoa ou contra um grupo ou comunidade, que resulte ou possa resultar em sofrimento, morte, dano psicológico, desenvolvimento prejudicado ou privação. Essa definição agrega a intencionalidade à prática do ato violento propriamente dito, desconsiderando o efeito produzido. A partir da análise da definição de violência formulada pela OMS, redija um texto dissertativo a respeito da violência na atualidade, contemplando os seguintes aspectos: tecnologia e violência, causas e consequências da violência na escola e proposta de solução para o problema da violência na escola.;ENADE;2012;DISCURSIVA
9507ca09-1a26-434d-974d-7f378d897730;No que se refere à aplicação dos dispositivos dos tratados internacionais no direito interno, avalie as seguintes asserções e a relação proposta entre elas. I. A recepção da Convenção Americana sobre Direitos Humanos — Pacto de San José da Costa Rica — pelo ordenamento jurídico brasileiro acarretou impedimento legal à prisão civil do depositário infiel. PORQUE II. A previsão constitucional para prisão civil do depositário infiel foi revogada por força do status normativo supralegal dos tratados internacionais de direitos humanos subscritos pelo Brasil. A respeito dessas asserções, assinale a opção correta.;ENADE;2012;OBJETIVA
34011d9a-33e7-4781-993c-d4cd5aafb013;Acerca do processo de reconhecimento e titulação das terras quilombolas, avalie as afirmações a seguir.;ENADE;2012;OBJETIVA
99cbbf77-e645-4aaa-8916-24a5935cc014;No diálogo entre Calvin e seu pai, a discussão dos personagens pode ser relacionada a temas da filosofia do Direito, considerando-se uma suposta norma que instituiu o mandato de pai. Qual das afirmações abaixo melhor se relaciona com a validade, vigência ou eficácia da norma?;ENADE;2012;OBJETIVA
4e925032-ebb8-466b-961e-d8cffdfcca86;Considerando o acesso à Justiça como um dos temas relevantes da processualística contemporânea, bem como a repercussão, no ordenamento jurídico brasileiro, do movimento de acesso à Justiça iniciado por Cappelletti e Garth, no sentido de superação dos obstáculos para a efetiva prestação da tutela jurisdicional, conclui-se que;ENADE;2012;OBJETIVA
87ab6a4e-f898-4fa6-b187-74ed4eb3d478;Tendo como base os dispositivos da Constituição Federal e as decisões do judiciário a respeito da demarcação das terras indígenas, verifica-se que os direitos dos índios sobre as terras que tradicionalmente ocupam foram reconhecidos no texto constitucional, mas são exercidos com base em ato constitutivo de demarcação, de competência da União.;ENADE;2012;OBJETIVA
337ff972-fd7a-4b17-914c-5645401b8248;Com base no texto de Aristóteles e no entendimento de que o ser humano exerce a arte de julgar, avalie as asserções e a relação proposta entre elas: I. A relação processual pressupõe o julgamento, o qual representa, para o magistrado, um agir com deliberações, uma vez que, ao decidir, esse operador jurídico se baseia na antecedente análise dos fatos e, de modo reflexivo, atinge o seu convencimento diante das provas apresentadas pelas partes no âmbito do processo. PORQUE II. Ao analisar os fatos apresentados na relação processual, o magistrado deve ser equânime e aproximar-se das partes envolvidas, para formar o seu convencimento com base nas opiniões por elas emitidas, o que lhe permite deliberar de modo mais sensato, justo e compreensivo com todos. A respeito dessas asserções, assinale a opção correta.;ENADE;2012;OBJETIVA
d77680c7-edbd-4b02-a0c0-ad20b8fa7e34;A necessidade temporária de contratação pela Administração Pública, objeto de análise no voto acima transcrito, encontra fundamento constitucional no princípio da;ENADE;2012;OBJETIVA
e8aec52a-a80a-4efe-9f9f-bafc708fb9f4;A partir dos textos acima, avalie as afirmações que se seguem.;ENADE;2012;OBJETIVA
ae89dde1-0b0c-4366-a922-61b4f059c81a;Considerando o texto acima, os fundamentos teóricos do direito de propriedade e os limites estabelecidos pelas suas funções na sociedade contemporânea, conclui-se que a demarcação de terras, como restrição oriunda dos direitos relativos à propriedade privada e das relações de contiguidade, é direito;ENADE;2012;OBJETIVA
c9057e48-7566-494f-b696-83a4a4a405f8;Tendo-se recusado a cumprir ordem lícita de serviço, um empregado foi advertido, por escrito, por seu gerente. Ao receber a advertência escrita, recusou-se a assinar cópia do documento do empregador, sob alegação de não concordar com seu conteúdo. Foi, então, despedido por justa causa, sob a imputação de ato de indisciplina. Nessa situação, infere-se que o empregado agiu de forma ilegítima ao se recusar a assinar a advertência do gerente.;ENADE;2012;OBJETIVA
5cfeba66-bc17-48b6-bed7-645e076a5373;Considerando os textos apresentados acima, avalie as seguintes asserções e a relação proposta entre elas. I. No plano jurídico, inclusive no que concerne a processos judiciais de natureza cível, ganhou força a interpretação de que deve ser reconhecida a união estável entre pessoas do mesmo sexo, em razão da decisão proferida na ADI n. º 4.277. PORQUE II. O Supremo Tribunal Federal é o intérprete máximo da Constituição Federal, por exercer o controle de constitucionalidade, o que ocorre, entre outras hipóteses, quando julga uma ação direta de inconstitucionalidade. A respeito dessas asserções, assinale a opção correta.;ENADE;2012;OBJETIVA
211bc377-059c-4972-8b08-4f2d3801f6c3;O Estado de direito contrapõe-se ao Estado absoluto, porquanto, baseado na lei, reconhece aos indivíduos a titularidade de direitos públicos subjetivos, ou seja, de posições jurídicas ativas com relação à autoridade estatal. Os direitos fundamentais do indivíduo representam limites objetivos à atuação do ente estatal. Esses direitos estabelecem, portanto, um padrão ético a ser seguido pelo Estado. Nessa perspectiva, conclui-se que, em um Estado de direito, o indivíduo é detentor de uma série de direitos fundamentais protegidos por garantias normativas que asseguram sua plena efetivação no plano prático.;ENADE;2012;OBJETIVA
d27636d9-2ed0-4684-b2e1-5aa3e30b4406;No artigo 1.º do Código de Ética do Advogado, afirma-se que “o exercício da advocacia exige conduta compatível com os preceitos deste Código, do Estatuto, do Regulamento Geral, dos Provimentos e com os demais princípios da moral individual, social e profissional”. À luz de tais princípios e normas, bem como da legislação ordinária, avalie as afirmações a seguir.;ENADE;2012;OBJETIVA
8f3af087-4789-462f-b3bc-24aa2b2ecf57;Acerca da teoria da aparência, objeto do texto acima, avalie as afirmações a seguir.;ENADE;2012;OBJETIVA
595b5c35-f792-4337-ab64-8d0800b53833;Considerando o contexto da ação ordinária de Maria, servidora pública federal, que busca a declaração de inexigibilidade do imposto de renda sobre os valores recebidos a título de auxílio pré-escola, abstenção da retenção do imposto de renda e restituição dos valores já descontados, e seu pedido de antecipação de tutela com base em decisão do STJ, avalie as asserções sobre a relação entre o pedido de antecipação de tutela e os requisitos exigidos pelo Código de Processo Civil.;ENADE;2012;OBJETIVA
4adcdf48-3ad9-452d-a9ab-9521c9ba1d85;Considerando a necessidade de clareza da postulação, conforme alude o texto acima, suponha que, em uma ação trabalhista, tenha sido impossível ao juiz determinar exatamente a pretensão do autor. Nessa situação, infere-se que;ENADE;2012;OBJETIVA
fa43063b-d06c-4be8-bafd-33c5ad26f617;Considerando-se o disposto na Constituição Federal de 1988, seria constitucional lei que permitisse as seguintes situações: I. permitisse a contratação de promotor de justiça, sem concurso público, mediante livre escolha do procurador-geral de justiça. II. obrigasse membros de associações a permanecerem associados por vinte anos. III. proibisse o anonimato em reclamações encaminhadas a qualquer ente da Administração Pública Direta e Indireta. Qual das alternativas abaixo é correta?;ENADE;2012;OBJETIVA
95dd073c-f258-430a-9138-836c1780c4ec;Considerando o contexto brasileiro abordado no texto acima, verifica-se que;ENADE;2012;OBJETIVA
3b7c29c4-2dbf-42e3-b708-0f7088a7fb0c;À luz da visão intervencionista e considerando a jurisprudência dos tribunais brasileiros, avalie as afirmações a seguir.;ENADE;2012;OBJETIVA
b619db15-4d52-455e-90a2-0b871571c12a;Avalie as seguintes afirmações com referência à competência da Justiça do Trabalho para julgar ações de dissídios coletivos, possessórias, mandados de segurança e habeas data.;ENADE;2012;OBJETIVA
